Volatility 3 Framework 2.10.0

PID	Process	Value	Privilege	Attributes	Description
632	svchost.exe	17	SeBackupPrivilege		Backup files and directories
632	svchost.exe	18	SeRestorePrivilege		Restore files and directories
632	svchost.exe	19	SeShutdownPrivilege	Present	Shut down the system
632	svchost.exe	20	SeDebugPrivilege		Debug programs
632	svchost.exe	21	SeAuditPrivilege	Present	Generate security audits
632	svchost.exe	22	SeSystemEnvironmentPrivilege		Edit firmware environment values
632	svchost.exe	23	SeChangeNotifyPrivilege	Present,Enabled,Default	Receive notifications of changes to files or directories
632	svchost.exe	24	SeRemoteShutdownPrivilege		Force shutdown from a remote system
632	svchost.exe	25	SeUndockPrivilege	Present	Remove computer from docking station
632	svchost.exe	26	SeSyncAgentPrivilege		Synch directory service data
632	svchost.exe	27	SeEnableDelegationPrivilege		Enable user accounts to be trusted for delegation
632	svchost.exe	28	SeManageVolumePrivilege		Manage the files on a volume
632	svchost.exe	29	SeImpersonatePrivilege	Present,Enabled,Default	Impersonate a client after authentication
632	svchost.exe	30	SeCreateGlobalPrivilege	Present,Enabled,Default	Create global objects
632	svchost.exe	31	SeTrustedCredManAccessPrivilege		Access Credential Manager as a trusted caller
632	svchost.exe	32	SeRelabelPrivilege		Modify the mandatory integrity level of an object
632	svchost.exe	33	SeIncreaseWorkingSetPrivilege	Present	Allocate more memory for user applications
632	svchost.exe	34	SeTimeZonePrivilege	Present	Adjust the time zone of the computer's internal clock
632	svchost.exe	35	SeCreateSymbolicLinkPrivilege		Required to create a symbolic link
632	svchost.exe	36	SeDelegateSessionUserImpersonatePrivilege		Obtain an impersonation token for another user in the same session.
1044	svchost.exe	2	SeCreateTokenPrivilege		Create a token object
1044	svchost.exe	3	SeAssignPrimaryTokenPrivilege	Present	Replace a process-level token
1044	svchost.exe	4	SeLockMemoryPrivilege	Present,Enabled,Default	Lock pages in memory
1044	svchost.exe	5	SeIncreaseQuotaPrivilege	Present	Increase quotas
1044	svchost.exe	6	SeMachineAccountPrivilege		Add workstations to the domain
1044	svchost.exe	7	SeTcbPrivilege	Present,Enabled,Default	Act as part of the operating system
1044	svchost.exe	8	SeSecurityPrivilege	Present	Manage auditing and security log
1044	svchost.exe	9	SeTakeOwnershipPrivilege	Present	Take ownership of files/objects
1044	svchost.exe	10	SeLoadDriverPrivilege	Present	Load and unload device drivers
1044	svchost.exe	11	SeSystemProfilePrivilege	Present,Enabled,Default	Profile system performance
1044	svchost.exe	12	SeSystemtimePrivilege	Present	Change the system time
1044	svchost.exe	13	SeProfileSingleProcessPrivilege	Present,Enabled,Default	Profile a single process
1044	svchost.exe	14	SeIncreaseBasePriorityPrivilege	Present,Enabled,Default	Increase scheduling priority
1044	svchost.exe	15	SeCreatePagefilePrivilege	Present,Enabled,Default	Create a pagefile
1044	svchost.exe	16	SeCreatePermanentPrivilege	Present,Enabled,Default	Create permanent shared objects
1044	svchost.exe	17	SeBackupPrivilege	Present	Backup files and directories
1044	svchost.exe	18	SeRestorePrivilege	Present	Restore files and directories
1044	svchost.exe	19	SeShutdownPrivilege	Present	Shut down the system
1044	svchost.exe	20	SeDebugPrivilege	Present,Enabled,Default	Debug programs
1044	svchost.exe	21	SeAuditPrivilege	Present,Enabled,Default	Generate security audits
1044	svchost.exe	22	SeSystemEnvironmentPrivilege	Present	Edit firmware environment values
1044	svchost.exe	23	SeChangeNotifyPrivilege	Present,Enabled,Default	Receive notifications of changes to files or directories
1044	svchost.exe	24	SeRemoteShutdownPrivilege		Force shutdown from a remote system
1044	svchost.exe	25	SeUndockPrivilege	Present	Remove computer from docking station
1044	svchost.exe	26	SeSyncAgentPrivilege		Synch directory service data
1044	svchost.exe	27	SeEnableDelegationPrivilege		Enable user accounts to be trusted for delegation
1044	svchost.exe	28	SeManageVolumePrivilege	Present,Enabled	Manage the files on a volume
1044	svchost.exe	29	SeImpersonatePrivilege	Present,Enabled,Default	Impersonate a client after authentication
1044	svchost.exe	30	SeCreateGlobalPrivilege	Present,Enabled,Default	Create global objects
1044	svchost.exe	31	SeTrustedCredManAccessPrivilege		Access Credential Manager as a trusted caller
1044	svchost.exe	32	SeRelabelPrivilege		Modify the mandatory integrity level of an object
1044	svchost.exe	33	SeIncreaseWorkingSetPrivilege	Present,Enabled,Default	Allocate more memory for user applications
1044	svchost.exe	34	SeTimeZonePrivilege	Present,Enabled,Default	Adjust the time zone of the computer's internal clock
1044	svchost.exe	35	SeCreateSymbolicLinkPrivilege	Present,Enabled,Default	Required to create a symbolic link
1044	svchost.exe	36	SeDelegateSessionUserImpersonatePrivilege	Present,Enabled,Default	Obtain an impersonation token for another user in the same session.
1172	svchost.exe	2	SeCreateTokenPrivilege		Create a token object
1172	svchost.exe	3	SeAssignPrimaryTokenPrivilege	Present	Replace a process-level token
1172	svchost.exe	4	SeLockMemoryPrivilege		Lock pages in memory
1172	svchost.exe	5	SeIncreaseQuotaPrivilege	Present	Increase quotas
1172	svchost.exe	6	SeMachineAccountPrivilege		Add workstations to the domain
1172	svchost.exe	7	SeTcbPrivilege		Act as part of the operating system
1172	svchost.exe	8	SeSecurityPrivilege		Manage auditing and security log
1172	svchost.exe	9	SeTakeOwnershipPrivilege		Take ownership of files/objects
1172	svchost.exe	10	SeLoadDriverPrivilege		Load and unload device drivers
1172	svchost.exe	11	SeSystemProfilePrivilege	Present	Profile system performance
1172	svchost.exe	12	SeSystemtimePrivilege	Present	Change the system time
1172	svchost.exe	13	SeProfileSingleProcessPrivilege		Profile a single process
1172	svchost.exe	14	SeIncreaseBasePriorityPrivilege		Increase scheduling priority
1172	svchost.exe	15	SeCreatePagefilePrivilege		Create a pagefile
1172	svchost.exe	16	SeCreatePermanentPrivilege		Create permanent shared objects
1172	svchost.exe	17	SeBackupPrivilege		Backup files and directories
1172	svchost.exe	18	SeRestorePrivilege		Restore files and directories
1172	svchost.exe	19	SeShutdownPrivilege		Shut down the system
1172	svchost.exe	20	SeDebugPrivilege		Debug programs
1172	svchost.exe	21	SeAuditPrivilege	Present	Generate security audits
1172	svchost.exe	22	SeSystemEnvironmentPrivilege		Edit firmware environment values
1172	svchost.exe	23	SeChangeNotifyPrivilege	Present,Enabled,Default	Receive notifications of changes to files or directories
1172	svchost.exe	24	SeRemoteShutdownPrivilege		Force shutdown from a remote system
1172	svchost.exe	25	SeUndockPrivilege		Remove computer from docking station
1172	svchost.exe	26	SeSyncAgentPrivilege		Synch directory service data
1172	svchost.exe	27	SeEnableDelegationPrivilege		Enable user accounts to be trusted for delegation
1172	svchost.exe	28	SeManageVolumePrivilege		Manage the files on a volume
1172	svchost.exe	29	SeImpersonatePrivilege	Present,Enabled,Default	Impersonate a client after authentication
1172	svchost.exe	30	SeCreateGlobalPrivilege	Present,Enabled,Default	Create global objects
1172	svchost.exe	31	SeTrustedCredManAccessPrivilege		Access Credential Manager as a trusted caller
1172	svchost.exe	32	SeRelabelPrivilege		Modify the mandatory integrity level of an object
1172	svchost.exe	33	SeIncreaseWorkingSetPrivilege	Present	Allocate more memory for user applications
1172	svchost.exe	34	SeTimeZonePrivilege	Present	Adjust the time zone of the computer's internal clock
1172	svchost.exe	35	SeCreateSymbolicLinkPrivilege		Required to create a symbolic link
1172	svchost.exe	36	SeDelegateSessionUserImpersonatePrivilege		Obtain an impersonation token for another user in the same session.
1288	svchost.exe	2	SeCreateTokenPrivilege		Create a token object
1288	svchost.exe	3	SeAssignPrimaryTokenPrivilege	Present	Replace a process-level token
1288	svchost.exe	4	SeLockMemoryPrivilege		Lock pages in memory
1288	svchost.exe	5	SeIncreaseQuotaPrivilege	Present	Increase quotas
1288	svchost.exe	6	SeMachineAccountPrivilege		Add workstations to the domain
1288	svchost.exe	7	SeTcbPrivilege		Act as part of the operating system
1288	svchost.exe	8	SeSecurityPrivilege		Manage auditing and security log
1288	svchost.exe	9	SeTakeOwnershipPrivilege		Take ownership of files/objects
1288	svchost.exe	10	SeLoadDriverPrivilege		Load and unload device drivers
1288	svchost.exe	11	SeSystemProfilePrivilege		Profile system performance
1288	svchost.exe	12	SeSystemtimePrivilege		Change the system time
1288	svchost.exe	13	SeProfileSingleProcessPrivilege		Profile a single process
1288	svchost.exe	14	SeIncreaseBasePriorityPrivilege		Increase scheduling priority
1288	svchost.exe	15	SeCreatePagefilePrivilege		Create a pagefile
1288	svchost.exe	16	SeCreatePermanentPrivilege		Create permanent shared objects
1288	svchost.exe	17	SeBackupPrivilege		Backup files and directories
1288	svchost.exe	18	SeRestorePrivilege		Restore files and directories
1288	svchost.exe	19	SeShutdownPrivilege	Present	Shut down the system
1288	svchost.exe	20	SeDebugPrivilege		Debug programs
1288	svchost.exe	21	SeAuditPrivilege	Present,Enabled	Generate security audits
1288	svchost.exe	22	SeSystemEnvironmentPrivilege		Edit firmware environment values
1288	svchost.exe	23	SeChangeNotifyPrivilege	Present,Enabled,Default	Receive notifications of changes to files or directories
1288	svchost.exe	24	SeRemoteShutdownPrivilege		Force shutdown from a remote system
1288	svchost.exe	25	SeUndockPrivilege	Present	Remove computer from docking station
1288	svchost.exe	26	SeSyncAgentPrivilege		Synch directory service data
1288	svchost.exe	27	SeEnableDelegationPrivilege		Enable user accounts to be trusted for delegation
1288	svchost.exe	28	SeManageVolumePrivilege		Manage the files on a volume
1288	svchost.exe	29	SeImpersonatePrivilege	Present,Enabled,Default	Impersonate a client after authentication
1288	svchost.exe	30	SeCreateGlobalPrivilege	Present,Enabled,Default	Create global objects
1288	svchost.exe	31	SeTrustedCredManAccessPrivilege		Access Credential Manager as a trusted caller
1288	svchost.exe	32	SeRelabelPrivilege		Modify the mandatory integrity level of an object
1288	svchost.exe	33	SeIncreaseWorkingSetPrivilege	Present	Allocate more memory for user applications
1288	svchost.exe	34	SeTimeZonePrivilege	Present	Adjust the time zone of the computer's internal clock
1288	svchost.exe	35	SeCreateSymbolicLinkPrivilege		Required to create a symbolic link
1288	svchost.exe	36	SeDelegateSessionUserImpersonatePrivilege		Obtain an impersonation token for another user in the same session.
1404	VBoxService.ex	2	SeCreateTokenPrivilege		Create a token object
1404	VBoxService.ex	3	SeAssignPrimaryTokenPrivilege	Present	Replace a process-level token
1404	VBoxService.ex	4	SeLockMemoryPrivilege	Present,Enabled,Default	Lock pages in memory
1404	VBoxService.ex	5	SeIncreaseQuotaPrivilege	Present	Increase quotas
1404	VBoxService.ex	6	SeMachineAccountPrivilege		Add workstations to the domain
1404	VBoxService.ex	7	SeTcbPrivilege	Present,Enabled,Default	Act as part of the operating system
1404	VBoxService.ex	8	SeSecurityPrivilege	Present	Manage auditing and security log
1404	VBoxService.ex	9	SeTakeOwnershipPrivilege	Present	Take ownership of files/objects
1404	VBoxService.ex	10	SeLoadDriverPrivilege	Present	Load and unload device drivers
1404	VBoxService.ex	11	SeSystemProfilePrivilege	Present,Enabled,Default	Profile system performance
1404	VBoxService.ex	12	SeSystemtimePrivilege	Present,Enabled	Change the system time
1404	VBoxService.ex	13	SeProfileSingleProcessPrivilege	Present,Enabled,Default	Profile a single process
1404	VBoxService.ex	14	SeIncreaseBasePriorityPrivilege	Present,Enabled,Default	Increase scheduling priority
1404	VBoxService.ex	15	SeCreatePagefilePrivilege	Present,Enabled,Default	Create a pagefile
1404	VBoxService.ex	16	SeCreatePermanentPrivilege	Present,Enabled,Default	Create permanent shared objects
1404	VBoxService.ex	17	SeBackupPrivilege	Present	Backup files and directories
1404	VBoxService.ex	18	SeRestorePrivilege	Present	Restore files and directories
1404	VBoxService.ex	19	SeShutdownPrivilege	Present	Shut down the system
1404	VBoxService.ex	20	SeDebugPrivilege	Present,Enabled,Default	Debug programs
1404	VBoxService.ex	21	SeAuditPrivilege	Present,Enabled,Default	Generate security audits
1404	VBoxService.ex	22	SeSystemEnvironmentPrivilege	Present	Edit firmware environment values
1404	VBoxService.ex	23	SeChangeNotifyPrivilege	Present,Enabled,Default	Receive notifications of changes to files or directories
1404	VBoxService.ex	24	SeRemoteShutdownPrivilege		Force shutdown from a remote system
1404	VBoxService.ex	25	SeUndockPrivilege	Present	Remove computer from docking station
1404	VBoxService.ex	26	SeSyncAgentPrivilege		Synch directory service data
1404	VBoxService.ex	27	SeEnableDelegationPrivilege		Enable user accounts to be trusted for delegation
1404	VBoxService.ex	28	SeManageVolumePrivilege	Present	Manage the files on a volume
1404	VBoxService.ex	29	SeImpersonatePrivilege	Present,Enabled,Default	Impersonate a client after authentication
1404	VBoxService.ex	30	SeCreateGlobalPrivilege	Present,Enabled,Default	Create global objects
1404	VBoxService.ex	31	SeTrustedCredManAccessPrivilege		Access Credential Manager as a trusted caller
1404	VBoxService.ex	32	SeRelabelPrivilege		Modify the mandatory integrity level of an object
1404	VBoxService.ex	33	SeIncreaseWorkingSetPrivilege	Present,Enabled,Default	Allocate more memory for user applications
1404	VBoxService.ex	34	SeTimeZonePrivilege	Present,Enabled,Default	Adjust the time zone of the computer's internal clock
1404	VBoxService.ex	35	SeCreateSymbolicLinkPrivilege	Present,Enabled,Default	Required to create a symbolic link
1404	VBoxService.ex	36	SeDelegateSessionUserImpersonatePrivilege	Present,Enabled,Default	Obtain an impersonation token for another user in the same session.
1472	svchost.exe	2	SeCreateTokenPrivilege		Create a token object
1472	svchost.exe	3	SeAssignPrimaryTokenPrivilege		Replace a process-level token
1472	svchost.exe	4	SeLockMemoryPrivilege		Lock pages in memory
1472	svchost.exe	5	SeIncreaseQuotaPrivilege		Increase quotas
1472	svchost.exe	6	SeMachineAccountPrivilege		Add workstations to the domain
1472	svchost.exe	7	SeTcbPrivilege		Act as part of the operating system
1472	svchost.exe	8	SeSecurityPrivilege		Manage auditing and security log
1472	svchost.exe	9	SeTakeOwnershipPrivilege		Take ownership of files/objects
1472	svchost.exe	10	SeLoadDriverPrivilege		Load and unload device drivers
1472	svchost.exe	11	SeSystemProfilePrivilege		Profile system performance
1472	svchost.exe	12	SeSystemtimePrivilege		Change the system time
1472	svchost.exe	13	SeProfileSingleProcessPrivilege		Profile a single process
1472	svchost.exe	14	SeIncreaseBasePriorityPrivilege		Increase scheduling priority
1472	svchost.exe	15	SeCreatePagefilePrivilege		Create a pagefile
1472	svchost.exe	16	SeCreatePermanentPrivilege		Create permanent shared objects
1472	svchost.exe	17	SeBackupPrivilege		Backup files and directories
1472	svchost.exe	18	SeRestorePrivilege		Restore files and directories
1472	svchost.exe	19	SeShutdownPrivilege		Shut down the system
1472	svchost.exe	20	SeDebugPrivilege		Debug programs
1472	svchost.exe	21	SeAuditPrivilege		Generate security audits
1472	svchost.exe	22	SeSystemEnvironmentPrivilege		Edit firmware environment values
1472	svchost.exe	23	SeChangeNotifyPrivilege	Present,Enabled,Default	Receive notifications of changes to files or directories
1472	svchost.exe	24	SeRemoteShutdownPrivilege		Force shutdown from a remote system
1472	svchost.exe	25	SeUndockPrivilege		Remove computer from docking station
1472	svchost.exe	26	SeSyncAgentPrivilege		Synch directory service data
1472	svchost.exe	27	SeEnableDelegationPrivilege		Enable user accounts to be trusted for delegation
1472	svchost.exe	28	SeManageVolumePrivilege		Manage the files on a volume
1472	svchost.exe	29	SeImpersonatePrivilege	Present,Enabled,Default	Impersonate a client after authentication
1472	svchost.exe	30	SeCreateGlobalPrivilege	Present,Enabled,Default	Create global objects
1472	svchost.exe	31	SeTrustedCredManAccessPrivilege		Access Credential Manager as a trusted caller
1472	svchost.exe	32	SeRelabelPrivilege		Modify the mandatory integrity level of an object
1472	svchost.exe	33	SeIncreaseWorkingSetPrivilege		Allocate more memory for user applications
1472	svchost.exe	34	SeTimeZonePrivilege		Adjust the time zone of the computer's internal clock
1472	svchost.exe	35	SeCreateSymbolicLinkPrivilege		Required to create a symbolic link
1472	svchost.exe	36	SeDelegateSessionUserImpersonatePrivilege		Obtain an impersonation token for another user in the same session.
1568	MemCompression	2	SeCreateTokenPrivilege	Present	Create a token object
1568	MemCompression	3	SeAssignPrimaryTokenPrivilege	Present	Replace a process-level token
1568	MemCompression	4	SeLockMemoryPrivilege	Present,Enabled,Default	Lock pages in memory
1568	MemCompression	5	SeIncreaseQuotaPrivilege	Present	Increase quotas
1568	MemCompression	6	SeMachineAccountPrivilege		Add workstations to the domain
1568	MemCompression	7	SeTcbPrivilege	Present,Enabled,Default	Act as part of the operating system
1568	MemCompression	8	SeSecurityPrivilege	Present	Manage auditing and security log
1568	MemCompression	9	SeTakeOwnershipPrivilege	Present	Take ownership of files/objects
1568	MemCompression	10	SeLoadDriverPrivilege	Present	Load and unload device drivers
1568	MemCompression	11	SeSystemProfilePrivilege	Present,Enabled,Default	Profile system performance
1568	MemCompression	12	SeSystemtimePrivilege	Present	Change the system time
1568	MemCompression	13	SeProfileSingleProcessPrivilege	Present,Enabled,Default	Profile a single process
1568	MemCompression	14	SeIncreaseBasePriorityPrivilege	Present,Enabled,Default	Increase scheduling priority
1568	MemCompression	15	SeCreatePagefilePrivilege	Present,Enabled,Default	Create a pagefile
1568	MemCompression	16	SeCreatePermanentPrivilege	Present,Enabled,Default	Create permanent shared objects
1568	MemCompression	17	SeBackupPrivilege	Present	Backup files and directories
1568	MemCompression	18	SeRestorePrivilege	Present	Restore files and directories
1568	MemCompression	19	SeShutdownPrivilege	Present	Shut down the system
1568	MemCompression	20	SeDebugPrivilege	Present,Enabled,Default	Debug programs
1568	MemCompression	21	SeAuditPrivilege	Present,Enabled,Default	Generate security audits
1568	MemCompression	22	SeSystemEnvironmentPrivilege	Present	Edit firmware environment values
1568	MemCompression	23	SeChangeNotifyPrivilege	Present,Enabled,Default	Receive notifications of changes to files or directories
1568	MemCompression	24	SeRemoteShutdownPrivilege		Force shutdown from a remote system
1568	MemCompression	25	SeUndockPrivilege	Present	Remove computer from docking station
1568	MemCompression	26	SeSyncAgentPrivilege		Synch directory service data
1568	MemCompression	27	SeEnableDelegationPrivilege		Enable user accounts to be trusted for delegation
1568	MemCompression	28	SeManageVolumePrivilege	Present	Manage the files on a volume
1568	MemCompression	29	SeImpersonatePrivilege	Present,Enabled,Default	Impersonate a client after authentication
1568	MemCompression	30	SeCreateGlobalPrivilege	Present,Enabled,Default	Create global objects
1568	MemCompression	31	SeTrustedCredManAccessPrivilege	Present	Access Credential Manager as a trusted caller
1568	MemCompression	32	SeRelabelPrivilege	Present	Modify the mandatory integrity level of an object
1568	MemCompression	33	SeIncreaseWorkingSetPrivilege	Present,Enabled,Default	Allocate more memory for user applications
1568	MemCompression	34	SeTimeZonePrivilege	Present,Enabled,Default	Adjust the time zone of the computer's internal clock
1568	MemCompression	35	SeCreateSymbolicLinkPrivilege	Present,Enabled,Default	Required to create a symbolic link
1568	MemCompression	36	SeDelegateSessionUserImpersonatePrivilege	Present,Enabled,Default	Obtain an impersonation token for another user in the same session.
1624	svchost.exe	2	SeCreateTokenPrivilege		Create a token object
1624	svchost.exe	3	SeAssignPrimaryTokenPrivilege		Replace a process-level token
1624	svchost.exe	4	SeLockMemoryPrivilege		Lock pages in memory
1624	svchost.exe	5	SeIncreaseQuotaPrivilege		Increase quotas
1624	svchost.exe	6	SeMachineAccountPrivilege		Add workstations to the domain
1624	svchost.exe	7	SeTcbPrivilege		Act as part of the operating system
1624	svchost.exe	8	SeSecurityPrivilege		Manage auditing and security log
1624	svchost.exe	9	SeTakeOwnershipPrivilege		Take ownership of files/objects
1624	svchost.exe	10	SeLoadDriverPrivilege		Load and unload device drivers
1624	svchost.exe	11	SeSystemProfilePrivilege		Profile system performance
1624	svchost.exe	12	SeSystemtimePrivilege		Change the system time
1624	svchost.exe	13	SeProfileSingleProcessPrivilege		Profile a single process
1624	svchost.exe	14	SeIncreaseBasePriorityPrivilege		Increase scheduling priority
1624	svchost.exe	15	SeCreatePagefilePrivilege		Create a pagefile
1624	svchost.exe	16	SeCreatePermanentPrivilege		Create permanent shared objects
1624	svchost.exe	17	SeBackupPrivilege		Backup files and directories
1624	svchost.exe	18	SeRestorePrivilege		Restore files and directories
1624	svchost.exe	19	SeShutdownPrivilege		Shut down the system
1624	svchost.exe	20	SeDebugPrivilege		Debug programs
1624	svchost.exe	21	SeAuditPrivilege		Generate security audits
1624	svchost.exe	22	SeSystemEnvironmentPrivilege		Edit firmware environment values
1624	svchost.exe	23	SeChangeNotifyPrivilege	Present,Enabled,Default	Receive notifications of changes to files or directories
1624	svchost.exe	24	SeRemoteShutdownPrivilege		Force shutdown from a remote system
1624	svchost.exe	25	SeUndockPrivilege		Remove computer from docking station
1624	svchost.exe	26	SeSyncAgentPrivilege		Synch directory service data
1624	svchost.exe	27	SeEnableDelegationPrivilege		Enable user accounts to be trusted for delegation
1624	svchost.exe	28	SeManageVolumePrivilege		Manage the files on a volume
1624	svchost.exe	29	SeImpersonatePrivilege	Present,Enabled,Default	Impersonate a client after authentication
1624	svchost.exe	30	SeCreateGlobalPrivilege	Default	Create global objects
1624	svchost.exe	31	SeTrustedCredManAccessPrivilege		Access Credential Manager as a trusted caller
1624	svchost.exe	32	SeRelabelPrivilege		Modify the mandatory integrity level of an object
1624	svchost.exe	33	SeIncreaseWorkingSetPrivilege	Present	Allocate more memory for user applications
1624	svchost.exe	34	SeTimeZonePrivilege		Adjust the time zone of the computer's internal clock
1624	svchost.exe	35	SeCreateSymbolicLinkPrivilege		Required to create a symbolic link
1624	svchost.exe	36	SeDelegateSessionUserImpersonatePrivilege		Obtain an impersonation token for another user in the same session.
1700	svchost.exe	2	SeCreateTokenPrivilege		Create a token object
1700	svchost.exe	3	SeAssignPrimaryTokenPrivilege	Present	Replace a process-level token
1700	svchost.exe	4	SeLockMemoryPrivilege	Default	Lock pages in memory
1700	svchost.exe	5	SeIncreaseQuotaPrivilege		Increase quotas
1700	svchost.exe	6	SeMachineAccountPrivilege		Add workstations to the domain
1700	svchost.exe	7	SeTcbPrivilege	Present,Enabled,Default	Act as part of the operating system
1700	svchost.exe	8	SeSecurityPrivilege	Present	Manage auditing and security log
1700	svchost.exe	9	SeTakeOwnershipPrivilege	Present	Take ownership of files/objects
1700	svchost.exe	10	SeLoadDriverPrivilege		Load and unload device drivers
1700	svchost.exe	11	SeSystemProfilePrivilege	Default	Profile system performance
1700	svchost.exe	12	SeSystemtimePrivilege		Change the system time
1700	svchost.exe	13	SeProfileSingleProcessPrivilege	Default	Profile a single process
1700	svchost.exe	14	SeIncreaseBasePriorityPrivilege	Present,Enabled,Default	Increase scheduling priority
1700	svchost.exe	15	SeCreatePagefilePrivilege	Default	Create a pagefile
1700	svchost.exe	16	SeCreatePermanentPrivilege	Present,Enabled,Default	Create permanent shared objects
1700	svchost.exe	17	SeBackupPrivilege	Present	Backup files and directories
1700	svchost.exe	18	SeRestorePrivilege	Present	Restore files and directories
1700	svchost.exe	19	SeShutdownPrivilege		Shut down the system
1700	svchost.exe	20	SeDebugPrivilege	Present,Enabled,Default	Debug programs
1700	svchost.exe	21	SeAuditPrivilege	Default	Generate security audits
1700	svchost.exe	22	SeSystemEnvironmentPrivilege		Edit firmware environment values
1700	svchost.exe	23	SeChangeNotifyPrivilege	Present,Enabled,Default	Receive notifications of changes to files or directories
1700	svchost.exe	24	SeRemoteShutdownPrivilege		Force shutdown from a remote system
1700	svchost.exe	25	SeUndockPrivilege		Remove computer from docking station
1700	svchost.exe	26	SeSyncAgentPrivilege		Synch directory service data
1700	svchost.exe	27	SeEnableDelegationPrivilege		Enable user accounts to be trusted for delegation
1700	svchost.exe	28	SeManageVolumePrivilege		Manage the files on a volume
1700	svchost.exe	29	SeImpersonatePrivilege	Present,Enabled,Default	Impersonate a client after authentication
1700	svchost.exe	30	SeCreateGlobalPrivilege	Present,Enabled,Default	Create global objects
1700	svchost.exe	31	SeTrustedCredManAccessPrivilege		Access Credential Manager as a trusted caller
1700	svchost.exe	32	SeRelabelPrivilege		Modify the mandatory integrity level of an object
1700	svchost.exe	33	SeIncreaseWorkingSetPrivilege	Present,Enabled,Default	Allocate more memory for user applications
1700	svchost.exe	34	SeTimeZonePrivilege	Default	Adjust the time zone of the computer's internal clock
1700	svchost.exe	35	SeCreateSymbolicLinkPrivilege	Default	Required to create a symbolic link
1700	svchost.exe	36	SeDelegateSessionUserImpersonatePrivilege	Default	Obtain an impersonation token for another user in the same session.
1720	svchost.exe	2	SeCreateTokenPrivilege		Create a token object
1720	svchost.exe	3	SeAssignPrimaryTokenPrivilege	Present	Replace a process-level token
1720	svchost.exe	4	SeLockMemoryPrivilege		Lock pages in memory
1720	svchost.exe	5	SeIncreaseQuotaPrivilege	Present	Increase quotas
1720	svchost.exe	6	SeMachineAccountPrivilege		Add workstations to the domain
1720	svchost.exe	7	SeTcbPrivilege		Act as part of the operating system
1720	svchost.exe	8	SeSecurityPrivilege		Manage auditing and security log
1720	svchost.exe	9	SeTakeOwnershipPrivilege		Take ownership of files/objects
1720	svchost.exe	10	SeLoadDriverPrivilege		Load and unload device drivers
1720	svchost.exe	11	SeSystemProfilePrivilege		Profile system performance
1720	svchost.exe	12	SeSystemtimePrivilege	Present	Change the system time
1720	svchost.exe	13	SeProfileSingleProcessPrivilege		Profile a single process
1720	svchost.exe	14	SeIncreaseBasePriorityPrivilege		Increase scheduling priority
1720	svchost.exe	15	SeCreatePagefilePrivilege		Create a pagefile
1720	svchost.exe	16	SeCreatePermanentPrivilege		Create permanent shared objects
1720	svchost.exe	17	SeBackupPrivilege		Backup files and directories
1720	svchost.exe	18	SeRestorePrivilege		Restore files and directories
1720	svchost.exe	19	SeShutdownPrivilege	Present	Shut down the system
1720	svchost.exe	20	SeDebugPrivilege		Debug programs
1720	svchost.exe	21	SeAuditPrivilege	Present	Generate security audits
1720	svchost.exe	22	SeSystemEnvironmentPrivilege		Edit firmware environment values
1720	svchost.exe	23	SeChangeNotifyPrivilege	Present,Enabled,Default	Receive notifications of changes to files or directories
1720	svchost.exe	24	SeRemoteShutdownPrivilege		Force shutdown from a remote system
1720	svchost.exe	25	SeUndockPrivilege	Present	Remove computer from docking station
1720	svchost.exe	26	SeSyncAgentPrivilege		Synch directory service data
1720	svchost.exe	27	SeEnableDelegationPrivilege		Enable user accounts to be trusted for delegation
1720	svchost.exe	28	SeManageVolumePrivilege		Manage the files on a volume
1720	svchost.exe	29	SeImpersonatePrivilege	Present,Enabled,Default	Impersonate a client after authentication
1720	svchost.exe	30	SeCreateGlobalPrivilege	Present,Enabled,Default	Create global objects
1720	svchost.exe	31	SeTrustedCredManAccessPrivilege		Access Credential Manager as a trusted caller
1720	svchost.exe	32	SeRelabelPrivilege		Modify the mandatory integrity level of an object
1720	svchost.exe	33	SeIncreaseWorkingSetPrivilege	Present	Allocate more memory for user applications
1720	svchost.exe	34	SeTimeZonePrivilege	Present	Adjust the time zone of the computer's internal clock
1720	svchost.exe	35	SeCreateSymbolicLinkPrivilege		Required to create a symbolic link
1720	svchost.exe	36	SeDelegateSessionUserImpersonatePrivilege		Obtain an impersonation token for another user in the same session.
1732	svchost.exe	2	SeCreateTokenPrivilege		Create a token object
1732	svchost.exe	3	SeAssignPrimaryTokenPrivilege		Replace a process-level token
1732	svchost.exe	4	SeLockMemoryPrivilege		Lock pages in memory
1732	svchost.exe	5	SeIncreaseQuotaPrivilege		Increase quotas
1732	svchost.exe	6	SeMachineAccountPrivilege		Add workstations to the domain
1732	svchost.exe	7	SeTcbPrivilege		Act as part of the operating system
1732	svchost.exe	8	SeSecurityPrivilege		Manage auditing and security log
1732	svchost.exe	9	SeTakeOwnershipPrivilege		Take ownership of files/objects
1732	svchost.exe	10	SeLoadDriverPrivilege		Load and unload device drivers
1732	svchost.exe	11	SeSystemProfilePrivilege		Profile system performance
1732	svchost.exe	12	SeSystemtimePrivilege		Change the system time
1732	svchost.exe	13	SeProfileSingleProcessPrivilege		Profile a single process
1732	svchost.exe	14	SeIncreaseBasePriorityPrivilege		Increase scheduling priority
1732	svchost.exe	15	SeCreatePagefilePrivilege		Create a pagefile
